cycle_nodes,cycle_edges,vorticity
"Nadal R.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Beck A.,Gimeno-Traver D.,Schuettler R.,Dent T.,Nadal R.","(Nadal R.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Schuettler R.);(Schuettler R.,Dent T.);(Dent T.,Nadal R.)",50.00000000000001
"Chela J.I.,Gasquet R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Ram R.,Andujar P.,Chela J.I.","(Chela J.I.,Gasquet R.);(Gasquet R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Ram R.);(Ram R.,Andujar P.);(Andujar P.,Chela J.I.)",-50.0
"Rochus O.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Rochus O.","(Rochus O.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Rochus O.)",-50.0
"Devvarman S.,Schuettler R.,Gimeno-Traver D.,Golubev A.,Anderson K.,Devvarman S.","(Devvarman S.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Golubev A.);(Golubev A.,Anderson K.);(Anderson K.,Devvarman S.)",-50.0
"Davydenko N.,Robert S.,Beck A.,Gimeno-Traver D.,Golubev A.,Fish M.,Cuevas P.,Davydenko N.","(Davydenko N.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Golubev A.);(Golubev A.,Fish M.);(Fish M.,Cuevas P.);(Cuevas P.,Davydenko N.)",-50.0
"Gulbis E.,Schuettler R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Gabashvili T.,Gulbis E.","(Gulbis E.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Gabashvili T.);(Gabashvili T.,Gulbis E.)",-50.0
"Montanes A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Montanes A.","(Montanes A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Montanes A.)",-50.0
"Llodra M.,Robert S.,Beck A.,Gimeno-Traver D.,Golubev A.,Fish M.,Cuevas P.,Llodra M.","(Llodra M.,Robert S.);(Robert S.,Beck A.);(Beck A.,Gimeno-Traver D.);(Gimeno-Traver D.,Golubev A.);(Golubev A.,Fish M.);(Fish M.,Cuevas P.);(Cuevas P.,Llodra M.)",-50.0
"Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Clement A.,Lopez F.","(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Clement A.);(Clement A.,Lopez F.)",-50.0
"Paire B.,Schuettler R.,Gimeno-Traver D.,Golubev A.,Granollers M.,Paire B.","(Paire B.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Golubev A.);(Golubev A.,Granollers M.);(Granollers M.,Paire B.)",-50.0
