Analysis for k=3 (removing 3 nodes)
Total combinations analyzed: 1140
Original intransitivity percentage: 78.42%, (intransitivity: 95.503422, total: 121.781372)
======================================================================

Results (sorted by intransitivity percentage):
------------------------------------------------------------------------------------------------------------------------
Removed Nodes                                        Percentage     Intransitivity              Total
------------------------------------------------------------------------------------------------------------------------
{Bournemouth, Aston Villa, Brentford}                    75.02%          79.291459         105.691176
{Aston Villa, Tottenham, Man United}                     75.05%          75.711146         100.879959
{Crystal Palace, Everton, Arsenal}                       75.06%          82.675550         110.142988
{Newcastle, Crystal Palace, Brighton}                    75.06%          80.656521         107.450838
{Brentford, Crystal Palace, Man City}                    75.07%          77.852044         103.711349
{Bournemouth, Brentford, Nott'm Forest}                  75.08%          77.194535         102.813543
{Newcastle, Everton, Brighton}                           75.09%          81.411025         108.416429
{Chelsea, Fulham, Nott'm Forest}                         75.09%          78.639826         104.720604
{Wolves, Fulham, Man City}                               75.10%          77.862164         103.684556
{Bournemouth, Nott'm Forest, Tottenham}                  75.11%          76.532837         101.891838
{Bournemouth, Brentford, Man City}                       75.11%          77.226524         102.813543
{Newcastle, Crystal Palace, Everton}                     75.13%          81.401408         108.353598
{Crystal Palace, West Ham, Tottenham}                    75.13%          77.969699         103.776991
{Everton, Nott'm Forest, Tottenham}                      75.13%          78.673491         104.711428
{Crystal Palace, West Ham, Man City}                     75.14%          80.048850         106.535920
{Aston Villa, Nott'm Forest, Man United}                 75.14%          77.950152         103.736322
{Bournemouth, West Ham, Tottenham}                       75.14%          76.599894         101.937957
{Brentford, Arsenal, Man United}                         75.17%          75.025451          99.801120
{Newcastle, Bournemouth, Brighton}                       75.18%          80.162153         106.628625
{Chelsea, Crystal Palace, Brighton}                      75.18%          82.187988         109.321724
{Crystal Palace, Everton, Ipswich}                       75.19%          82.181101         109.298027
{Aston Villa, Man United, Man City}                      75.20%          77.268723         102.751962
{Everton, Arsenal, Brighton}                             75.22%          82.871222         110.166503
{West Ham, Everton, Man City}                            75.24%          81.579409         108.420860
{West Ham, Everton, Tottenham}                           75.25%          78.830606         104.760891
{Chelsea, Brentford, Everton}                            75.25%          79.515853         105.666665
{Wolves, Bournemouth, Crystal Palace}                    75.28%          78.791218         104.671122
{Aston Villa, Brentford, Brighton}                       75.29%          80.232289         106.569249
{Newcastle, Bournemouth, Everton}                        75.29%          80.968728         107.538287
{Brentford, Brighton, Man City}                          75.29%          78.110473         103.740953
{Aston Villa, Fulham, Leicester}                         75.30%          78.153418         103.786249
{Newcastle, Aston Villa, Fulham}                         75.32%          79.530194         105.595867
{Aston Villa, West Ham, Man United}                      75.32%          78.872051         104.720604
{West Ham, Man United, Man City}                         75.33%          78.149025         103.736322
{Chelsea, Wolves, Fulham}                                75.34%          78.165221         103.745584
{Newcastle, Brentford, Everton}                          75.35%          78.151452         103.720613
{Fulham, West Ham, Ipswich}                              75.35%          78.218742         103.806576
{Aston Villa, Brighton, Tottenham}                       75.35%          79.625274         105.671212
{Bournemouth, Aston Villa, Tottenham}                    75.38%          77.540105         102.868590
{West Ham, Everton, Nott'm Forest}                       75.39%          81.734724         108.416429
{Wolves, Brighton, Man United}                           75.40%          78.934272         104.691277
{Fulham, Southampton, Man United}                        75.41%          73.777617          97.834481
{Bournemouth, Arsenal, Man United}                       75.43%          78.233927         103.722426
{Fulham, Ipswich, Tottenham}                             75.43%          74.611011          98.908582
{Aston Villa, Everton, Man City}                         75.45%          82.462964         109.296307
{West Ham, Nott'm Forest, Man United}                    75.46%          79.013384         104.711428
{West Ham, Nott'm Forest, Brighton}                      75.47%          81.159667         107.538287
{Aston Villa, Everton, Tottenham}                        75.47%          80.441625         106.584537
{Aston Villa, West Ham, Everton}                         75.48%          83.197386         110.230954
{Bournemouth, West Ham, Man City}                        75.50%          79.775937         105.666665
{Liverpool, Fulham, Man United}                          75.51%          75.363719          99.810748
{Aston Villa, Brentford, Crystal Palace}                 75.51%          80.452621         106.540430
{Crystal Palace, Brighton, Ipswich}                      75.53%          81.875726         108.403133
{Newcastle, Fulham, Man City}                            75.53%          78.332104         103.709536
{Crystal Palace, Nott'm Forest, Man City}                75.53%          79.040602         104.646372
{Brentford, Everton, Arsenal}                            75.53%          79.756109         105.593098
{Fulham, Nott'm Forest, Arsenal}                         75.54%          79.066771         104.671122
{Crystal Palace, Arsenal, Brighton}                      75.54%          82.531975         109.255016
{West Ham, Tottenham, Man United}                        75.55%          76.241839         100.921779
{Bournemouth, West Ham, Nott'm Forest}                   75.55%          79.847289         105.691176
{Bournemouth, Aston Villa, West Ham}                     75.58%          80.600036         106.637637
{Crystal Palace, Fulham, Southampton}                    75.61%          75.446325          99.784792
{Wolves, Everton, Brighton}                              75.65%          82.019594         108.416429
{Brentford, Liverpool, Fulham}                           75.65%          76.268166         100.812431
{Wolves, Brentford, Man United}                          75.69%          74.807894          98.834846
{Newcastle, Brentford, Crystal Palace}                   75.70%          77.752346         102.706209
{Nott'm Forest, Man United, Man City}                    75.71%          77.046371         101.769370
{Bournemouth, Aston Villa, Man City}                     75.72%          79.998971         105.646696
{Aston Villa, Everton, Nott'm Forest}                    75.73%          82.761942         109.291911
{Aston Villa, Fulham, Ipswich}                           75.75%          79.314274         104.705044
{Newcastle, Fulham, West Ham}                            75.75%          78.593113         103.750215
{Brentford, Tottenham, Man United}                       75.75%          74.150158          97.882510
{Fulham, Leicester, Man City}                            75.77%          77.166476         101.840982
{Wolves, Bournemouth, Everton}                           75.77%          81.465620         107.514197
{Fulham, Arsenal, Ipswich}                               75.78%          78.604768         103.731690
{West Ham, Brighton, Man City}                           75.79%          81.485487         107.518666
{Crystal Palace, Nott'm Forest, Ipswich}                 75.79%          80.061601         105.633052
{Wolves, Bournemouth, Brighton}                          75.80%          80.807929         106.604330
{Newcastle, Brentford, Brighton}                         75.82%          77.924360         102.777168
{Everton, Brighton, Ipswich}                             75.82%          82.213023         108.427026
{Aston Villa, Crystal Palace, West Ham}                  75.83%          81.497975         107.474942
{Bournemouth, Liverpool, Man United}                     75.83%          76.457908         100.823827
{Brentford, Brighton, Tottenham}                         75.84%          77.990037         102.838734
{Everton, Nott'm Forest, Man City}                       75.84%          80.796486         106.535920
{Newcastle, Chelsea, Fulham}                             75.84%          78.682015         103.745584
{Wolves, Crystal Palace, Everton}                        75.85%          82.201278         108.373068
{Aston Villa, West Ham, Brighton}                        75.86%          82.265163         108.449179
{Crystal Palace, Ipswich, Man City}                      75.87%          80.129019         105.613077
{Aston Villa, Crystal Palace, Nott'm Forest}             75.87%          80.834203         106.540430
{Liverpool, Fulham, Tottenham}                           75.88%          75.019446          98.865911
{Newcastle, Tottenham, Man United}                       75.89%          75.786194          99.867449
{Wolves, Fulham, Arsenal}                                75.90%          78.689915         103.675288
{Chelsea, Crystal Palace, Nott'm Forest}                 75.91%          80.189222         105.642148
{Chelsea, Brentford, Brighton}                           75.91%          79.502571         104.736163
{Bournemouth, Everton, Ipswich}                          75.91%          81.636534         107.544503
{Aston Villa, Crystal Palace, Man City}                  75.91%          80.862865         106.520625
{Chelsea, Aston Villa, Man United}                       75.92%          78.786213         103.781620
{Brentford, Everton, Tottenham}                          75.92%          78.053165         102.813543
{Bournemouth, Brighton, Ipswich}                         75.92%          80.955573         106.634894
{Bournemouth, Aston Villa, Nott'm Forest}                75.93%          80.230931         105.671212
{Newcastle, Crystal Palace, Nott'm Forest}               75.93%          79.449475         104.635393
{Chelsea, Brighton, Tottenham}                           75.93%          80.282520         105.726549
{Brentford, Everton, Ipswich}                            75.93%          79.511916         104.711428
{Brentford, Crystal Palace, Ipswich}                     75.94%          79.493387         104.682098
{Newcastle, Brighton, Tottenham}                         75.94%          78.817663         103.790879
{Newcastle, Aston Villa, Man United}                     75.95%          78.044201         102.756638
{Wolves, Crystal Palace, Brighton}                       75.95%          81.626195         107.470472
{Wolves, Brentford, Everton}                             75.96%          78.800398         103.745584
{Bournemouth, Crystal Palace, Arsenal}                   75.98%          81.641626         107.457059
{Brentford, Fulham, Southampton}                         75.98%          74.339187          97.844302
{Chelsea, Tottenham, Man United}                         75.98%          76.679862         100.921779
{Ipswich, Man United, Man City}                          75.99%          76.634450         100.849515
{Newcastle, Bournemouth, Brentford}                      75.99%          77.395641         101.845699
{Chelsea, Brentford, Crystal Palace}                     75.99%          79.558566         104.691277
{Chelsea, Bournemouth, Brentford}                        76.00%          78.904025         103.826899
{Aston Villa, Crystal Palace, Tottenham}                 76.01%          79.578723         104.695866
{Aston Villa, Nott'm Forest, Brighton}                   76.02%          81.705853         107.479413
{Newcastle, Crystal Palace, Tottenham}                   76.03%          78.128757         102.756638
{Southampton, Everton, Man United}                       76.03%          76.670037         100.835222
{Nott'm Forest, Ipswich, Man United}                     76.04%          77.444204         101.852263
{Everton, Tottenham, Man City}                           76.04%          78.893442         103.756658
{Chelsea, Crystal Palace, West Ham}                      76.05%          81.760391         107.509728
{Fulham, Nott'm Forest, Ipswich}                         76.05%          78.909835         103.761289
{Chelsea, Nott'm Forest, Man United}                     76.06%          78.197924         102.813543
{Chelsea, Fulham, Leicester}                             76.07%          77.517440         101.903114
{Crystal Palace, Tottenham, Man City}                    76.07%          78.179383         102.767818
{Crystal Palace, Nott'm Forest, Arsenal}                 76.10%          80.350866         105.588548
{Bournemouth, Leicester, Man United}                     76.10%          75.287266          98.931812
{Chelsea, Everton, Tottenham}                            76.10%          80.442938         105.706591
{Newcastle, Nott'm Forest, Man United}                   76.11%          78.200662         102.751962
{Chelsea, Bournemouth, Tottenham}                        76.11%          78.324927         102.909602
{Brighton, Tottenham, Man City}                          76.12%          78.983769         103.761289
{Arsenal, Tottenham, Man United}                         76.13%          76.756593         100.823827
{Crystal Palace, West Ham, Ipswich}                      76.14%          81.148045         106.571013
{Newcastle, Fulham, Arsenal}                             76.15%          78.946320         103.675288
{Tottenham, Man United, Man City}                        76.15%          75.278694          98.856191
{Chelsea, Aston Villa, Everton}                          76.16%          83.958473         110.245735
{Aston Villa, Arsenal, Man United}                       76.17%          78.995788         103.711349
{Chelsea, West Ham, Everton}                             76.18%          83.319532         109.377888
{Newcastle, Crystal Palace, West Ham}                    76.18%          79.712799         104.630801
{Bournemouth, Tottenham, Man City}                       76.19%          76.860752         100.879959
{Newcastle, Bournemouth, Tottenham}                      76.20%          76.896920         100.915155
{Aston Villa, Brighton, Man City}                        76.21%          81.896607         107.459781
{Brentford, West Ham, Man City}                          76.22%          78.359493         102.802368
{Wolves, Fulham, Nott'm Forest}                          76.23%          78.333649         102.761313
{Brentford, Crystal Palace, Arsenal}                     76.23%          79.768975         104.637190
{Nott'm Forest, Arsenal, Man United}                     76.24%          78.325557         102.737933
{Chelsea, Everton, Nott'm Forest}                        76.24%          81.969001         107.514197
{Everton, Leicester, Man United}                         76.24%          77.667224         101.868259
